Person ID,weight,BIRTHDAY,Gender,Number_of children,People_in_Household
433396,5083.80,19471001,female,0,2-HH
11019,2966.01,19470901,male,0,2-HH
9274253,5146.83,19800101,female,0,4-HH
8109,2581.77,19811001,female,0,2-HH
6013841,4956.97,19801001,female,0,2-HH
41787226,35075.51,19990901,male,0,6-HH
456355,24896.78,20050901,male,0,6-HH
725719,5428.85,19820101,male,1 child,5-HH
85448948,14738.75,19980701,male,0,4-HH
9731054,1588.52,19671101,female,0,1 -HH (female)
25916856,4374.56,19690901,male,0,2-HH
235139,6691.51,19580201,male,0,2-HH
84581,2975.92,19670101,female,0,1 -HH (female)
51347,4667.23,19860101,male,0,2-HH
37192021,5549.38,19820901,male,0,3-HH
32039588,5026.90,19790701,female,0,3-HH
71201699,5055.72,19880601,female,0,1 -HH (female)
85960,8310.08,19860201,male,2 Children,4-HH
73369,9970.67,19840501,female,2 Children,4-HH
6831,7310.71,19830501,female,0,3-HH
73934371,2911.74,19560601,male,0,1-HH (male)
510734819,7361.03,19870801,male,1 child,3-HH
4341032,2658.16,19840401,male,0,1-HH (male)
7513,3518.45,19470801,male,0,2-HH
1718,15061.51,19950301,female,0,2-HH
2950395,4830.85,19890301,male,0,2-HH
17864,2578.70,19671001,male,0,2-HH
97274,1559.58,19701001,female,0,3-HH
56204,4119.23,19870201,male,0,2-HH
5951,2990.33,19411201,female,0,2-HH
50931217,1896.40,19790101,female,0,1 -HH (female)
341286,2255.81,19790301,female,0,1 -HH (female)
77102,1245.95,19810201,female,0,4-HH
1020677,2140.58,19670101,female,0,1 -HH (female)
87273393,11396.01,19420401,male,0,1-HH (male)
52256800,1384.29,19711201,male,0,1-HH (male)
80957,#NULL!,19521201,male,0,2-HH
1456646,4440.43,19680801,female,0,3-HH
947136381,#NULL!,19690201,male,0,2-HH
743,4761.87,19560501,male,0,2-HH
74200,12599.79,20000801,female,0,1 -HH (female)
8374,16159.67,19991201,female,0,3-HH
8288295,6878.06,19871101,male,1 child,4-HH
