WEIGHT,NUMBER_OF_CHILDREN,AGE,HOUSEHOLD_SIZE,TV_TOTAL,FLYERS,PRINT_TOTAL,ONLINE_VIDEO,ONLINE_DISPLAY,ONLINE_TOTAL,TIKTOK,YOUTUBE_TOTAL,YOUTUBE_MOBILE,YOUTUBE_DESKTOP,YOUTUBE_TABLET,YOUTUBE_CTV,PINTEREST,PURCHASE,GENDER_female,GENDER_male,TOTAL_MEDIA_EXPOSURE,DIGITAL_MEDIA_TOTAL,TRADITIONAL_MEDIA_TOTAL,SOCIAL_MEDIA_TOTAL,VIDEO_MEDIA_TOTAL,MEDIA_PER_HOUSEHOLD_MEMBER,MEDIA_PER_CHILD,AGE_GROUP,HEAVY_MEDIA_USER,ENGAGED_VIDEO_USER,TARGET_GROUP
2739.54,0.0,64.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,3.0,0.0,3.0,0.0,0.0,1.5,3.0,55-64,0,0,0
3677.64,0.0,78.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,7.0,0.0,7.0,0.0,0.0,3.5,7.0,75+,1,0,0
2079.74,0.0,70.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,3.0,1.0,2.0,0.0,1.0,1.5,3.0,65-74,0,1,0
3143.52,0.0,34.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,6.0,0.0,6.0,0.0,0.0,6.0,6.0,18-34,1,0,0
2578.7,0.0,62.0,2.0,5.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,10.0,4.0,6.0,0.0,0.0,5.0,10.0,55-64,1,0,0
2363.4,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75+,0,0,0
8121.38,0.0,56.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,True,False,9.0,1.0,8.0,1.0,1.0,1.5,9.0,55-64,1,1,0
6431.23,0.0,36.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,4.0,0.0,4.0,0.0,0.0,1.3333333333333333,4.0,35-44,0,0,0
6465.01,0.0,62.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1,False,True,44.0,27.0,17.0,27.0,0.0,44.0,44.0,55-64,1,0,0
2131.09,0.0,68.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,1.0,0.0,1.0,0.0,0.0,0.5,1.0,65-74,0,0,0
6495.48,0.0,81.0,2.0,7.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,19.0,1.0,18.0,1.0,1.0,9.5,19.0,75+,1,1,0
4507.59,0.0,70.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,4.0,0.0,4.0,0.0,0.0,2.0,4.0,65-74,0,0,0
4696.31,0.0,37.0,1.0,4.0,0.0,0.0,10.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,19.0,15.0,4.0,0.0,10.0,19.0,19.0,35-44,1,1,1
2966.01,0.0,63.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,6.0,0.0,6.0,0.0,0.0,3.0,6.0,55-64,1,0,0
1440.42,0.0,71.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,1.0,0.0,1.0,0.0,0.0,0.5,1.0,65-74,0,0,0
2220.69,0.0,76.0,2.0,12.0,0.0,0.0,13.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,29.0,17.0,12.0,0.0,13.0,14.5,29.0,75+,1,1,0
718.05,0.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75+,0,0,0
5246.94,0.0,55.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,False,True,7.0,1.0,6.0,1.0,1.0,2.3333333333333335,7.0,55-64,1,1,0
5146.83,0.0,49.0,3.0,4.0,0.0,0.0,9.0,3.0,12.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1,True,False,19.0,15.0,4.0,3.0,12.0,6.333333333333333,19.0,45-54,1,1,0
3961.46,0.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55-64,0,0,0
4830.85,0.0,34.0,2.0,7.0,0.0,0.0,12.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,25.0,18.0,7.0,0.0,12.0,12.5,25.0,18-34,1,1,0
1112.79,0.0,64.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,8.0,0.0,8.0,0.0,0.0,8.0,8.0,55-64,1,0,0
5032.45,0.0,74.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,16.0,0.0,16.0,0.0,0.0,8.0,16.0,65-74,1,0,0
3961.46,0.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55-64,0,0,0
3900.77,0.0,45.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,False,True,27.0,1.0,26.0,1.0,1.0,5.4,27.0,45-54,1,1,0
2911.74,0.0,75.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,12.0,0.0,12.0,0.0,0.0,12.0,12.0,75+,1,0,0
1134.41,0.0,70.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,1.0,0.0,1.0,0.0,0.0,0.5,1.0,65-74,0,0,0
3900.77,0.0,47.0,5.0,9.0,0.0,0.0,9.0,0.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1,False,True,20.0,11.0,9.0,2.0,11.0,4.0,20.0,45-54,1,1,0
1112.79,0.0,69.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,3.0,0.0,3.0,0.0,0.0,3.0,3.0,65-74,0,0,0
8267.02,0.0,75.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,1.0,0.0,1.0,0.0,0.0,0.5,1.0,75+,0,0,0
8418.64,0.0,53.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,3.0,1,False,True,13.0,7.0,6.0,7.0,4.0,6.5,13.0,45-54,1,1,0
2187.1,0.0,83.0,2.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,14.0,0.0,14.0,0.0,0.0,7.0,14.0,75+,1,0,0
7182.79,0.0,72.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,4.0,0.0,4.0,0.0,0.0,2.0,4.0,65-74,0,0,0
3258.3,0.0,66.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,11.0,0.0,11.0,0.0,0.0,5.5,11.0,65-74,1,0,0
3718.85,0.0,58.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,9.0,0.0,9.0,0.0,0.0,3.0,9.0,55-64,1,0,0
32288.67,0.0,26.0,3.0,0.0,0.0,0.0,13.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,18.0,18.0,0.0,0.0,13.0,6.0,18.0,18-34,1,1,0
3011.27,0.0,66.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,9.0,0.0,9.0,0.0,0.0,9.0,9.0,65-74,1,0,0
6313.38,0.0,63.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,1.0,0.0,1.0,0.0,0.0,0.25,1.0,55-64,0,0,0
7699.52,0.0,61.0,4.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,False,True,28.0,6.0,22.0,6.0,0.0,7.0,28.0,55-64,1,0,0
15097.23,0.0,27.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,1.0,0.0,1.0,0.0,0.0,0.25,1.0,18-34,0,0,0
2176.39,0.0,58.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1,True,False,33.0,20.0,13.0,20.0,0.0,33.0,33.0,55-64,1,0,0
3686.63,0.0,91.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,3.0,0.0,3.0,0.0,0.0,1.5,3.0,75+,0,0,0
2219.64,0.0,53.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,False,True,6.0,1.0,5.0,1.0,1.0,6.0,6.0,45-54,1,1,0
2546.94,0.0,49.0,1.0,0.0,0.0,0.0,6.0,4.0,10.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0,True,False,12.0,12.0,0.0,2.0,8.0,12.0,12.0,45-54,1,1,0
2660.0,0.0,79.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,False,True,30.0,1.0,29.0,1.0,0.0,15.0,30.0,75+,1,0,0
2079.74,0.0,74.0,2.0,1.0,3.0,4.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,16.0,8.0,8.0,7.0,8.0,8.0,16.0,65-74,1,1,0
6495.48,0.0,77.0,2.0,35.0,0.0,1.0,6.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,49.0,13.0,36.0,0.0,6.0,24.5,49.0,75+,1,1,0
7746.09,0.0,73.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,False,True,35.0,6.0,29.0,6.0,0.0,17.5,35.0,65-74,1,0,0
8310.08,1.0,42.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,False,True,4.0,1.0,3.0,1.0,1.0,1.0,2.0,35-44,0,1,0
7459.0,0.0,79.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,4.0,0.0,4.0,0.0,0.0,2.0,4.0,75+,0,0,0
3518.45,0.0,85.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,7.0,1.0,6.0,1.0,1.0,3.5,7.0,75+,1,1,0
2131.09,0.0,82.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,4.0,0.0,4.0,0.0,0.0,2.0,4.0,75+,0,0,0
3390.44,0.0,59.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,2.0,0.0,2.0,0.0,0.0,1.0,2.0,55-64,0,0,0
1440.42,0.0,65.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,4.0,0.0,4.0,0.0,0.0,2.0,4.0,65-74,0,0,0
1005.59,0.0,60.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,False,True,24.0,1.0,23.0,1.0,0.0,8.0,24.0,55-64,1,0,0
4581.94,0.0,58.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,5.0,0.0,5.0,0.0,0.0,1.25,5.0,55-64,1,0,0
4554.2,0.0,57.0,4.0,22.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1,False,True,30.0,3.0,27.0,3.0,3.0,7.5,30.0,55-64,1,1,0
4554.2,0.0,57.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1,False,True,6.0,6.0,0.0,6.0,6.0,1.5,6.0,55-64,1,1,0
